old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
94749,0.0,town,doctor,hand,phone,1,on-call medical service,3.0,23.0
89616,2.0,mother,room,woman,world,2,women empowerment,2.0,20.0
95859,0.0,state,birthday,pain,meeting,3,Cooperate life in 2025,3.0,31.0
93532,0.0,office,bed,blood,dog,4,"They can all link to the word ""hot""",4.0,4.0
88939,2.0,food,street,coffee,hair,5,All things that aethestically motivated girls post to their Instagrams,3.0,57.0
95590,0.0,baby,girl,boy,house,6,Events that come during a baby shower.,1.0,70.0
93532,0.0,summer,trip,evidence,doc,7,Things related to high school students,2.0,35.0
93133,2.0,murder,dude,afternoon,message,8,could put the word dead infront of all them,1.0,73.0
95983,2.0,word,week,part,number,9,school,3.0,24.0
deepseek-chat_run1,0.0,deal,second,rest,end,12,"Words that can follow ""the"" to form common phrases",1.0,65.0
95983,2.0,city,daughter,book,child,13,family,1.0,37.0
gpt5_run1,2.0,mouth,floor,plane,officer,14,Things specifically referenced in commercial airplane safety / emergency instructions,3.0,25.0
deepseek-chat_run3,0.0,furniture,clown,towel,corn,15,Items that might be found in a clown-themed hotel room,3.0,25.0
gpt5_run1,2.0,case,death,party,couple,16,Common topics in sensational celebrity tabloid headlines,3.0,40.0
93444,2.0,unit,arrest,funeral,taste,17,Things that can be measured in percentages,4.0,9.0
deepseek-chat_run1,2.0,camera,chicken,wine,park,18,Items you might pack for a romantic picnic in a park.,1.0,40.0
94821,2.0,movie,picture,shot,drink,19,Bar scene in a film,0.0,45.0
94916,0.0,nose,ground,gold,professor,20,Educated people stay ahead of others in multiple ways like money and have resources to understand things better,4.0,0.0
89616,2.0,security,information,system,order,21,keeping something safe,1.0,29.0
gpt5_run2,0.0,court,lieutenant,lunch,mama,22,"Everyday elements of life on a military base (legal, rank, routine, and family)",3.0,20.0
87226,0.0,dinner,captain,husband,line,23,things that take a long time,4.0,4.0
87226,0.0,train,army,building,card,24,toys you might find in a little boys room,0.0,8.0
92985,2.0,command,permission,defense,safety,26,police,0.0,82.0
96097,1.0,east,enemy,hero,mission,27,words associated with battles,2.0,72.0
deepseek-chat_run2,1.0,hotel,ball,boat,earth,28,"Things that can be preceded by the word ""ball"" to form a common phrase or term.",3.0,25.0
92984,1.0,oxygen,movement,pattern,temperature,29,environment,1.0,63.0
deepseek-chat_run2,1.0,club,colonel,wedding,agent,30,"Things that can be preceded by the word ""secret""",1.0,60.0
93482,1.0,bank,lawyer,college,letter,31,Things a law firm worker might experience throughout his career,2.0,11.0
deepseek-chat_run3,1.0,eye,road,table,paper,32,"Things that can be ""on"" something (e.g., ""keep an eye on,"" ""on the road,"" ""on the table,"" ""on paper"")",3.0,25.0
87744,1.0,candy,planet,bedroom,shower,33,alien,3.0,24.0
92984,1.0,box,bag,window,apartment,34,NYC,1.0,55.0
92946,1.0,heavens,option,stress,punishment,35,Characteristic of good and or bad.,4.0,39.0
87744,1.0,request,confession,anger,solution,36,problem solving,2.0,50.0
deepseek-chat_run1,1.0,partner,folks,middle,angel,37,"Words that can be preceded by ""guardian"" to form a common phrase",3.0,25.0
93542,1.0,service,difference,situation,pleasure,38,Building a community,0.0,78.0
gpt5_run2,1.0,king,piece,boss,class,39,Terms for positions or units within a hierarchy or power structure,3.0,35.0
gpt5_run3,1.0,killer,surprise,space,idiot,40,"Words that complete the common phrases serial killer, birthday surprise, outer space, and village idiot",3.0,30.0
95028,1.0,computer,arm,hat,neck,41,things involved in a construction job,2.0,5.0
95028,1.0,board,shop,stage,camp,42,places/things involving kids,2.0,0.0
93542,1.0,list,truck,star,store,43,Things that need to be bought eat the store for a truck,1.0,35.0
92984,1.0,area,ride,top,report,44,police,1.0,61.0
93542,1.0,glass,teacher,cell,queen,45,A baddie teacher going to get coffee before work,0.0,60.0
92946,1.0,ice,brain,fish,beer,46,Things that can be cold/wet,3.0,57.0
gpt5_run1,1.0,blade,rocket,patch,robot,47,One-word names of comic-book superhero (or antihero) characters,4.0,8.0
94894,1.0,clothes,ship,horse,tv,48,movie about the Columbian exchange,0.0,34.0
