old_subjCode,condition,word1,word2,word3,word4,group_id,category_response,difficulty,consensus
95983,2.0,town,doctor,phone,hand,1,small town,3.0,24.0
deepseek-chat_run1,2.0,room,mother,world,woman,2,"Words that can be preceded by ""step"" to form a new word or phrase",1.0,40.0
87226,0.0,birthday,pain,state,meeting,3,reasons people might gather around you,4.0,24.0
gpt5_run3,2.0,dog,blood,bed,office,4,Things you might deal with during a case at an emergency veterinary clinic,3.0,25.0
95590,0.0,food,hair,coffee,street,5,Things you would see at a strip mall.,1.0,56.0
96049,2.0,house,girl,boy,baby,6,family,1.0,53.0
gpt5_run3,0.0,trip,summer,doc,evidence,7,Information and documents youd include when filing a travel insurance claim after a summer vacation incident,3.0,20.0
93445,2.0,dude,afternoon,murder,message,8,boys,4.0,67.0
deepseek-chat_run2,2.0,word,number,week,part,9,Components of a typical newspaper crossword puzzle clue,1.0,40.0
deepseek-chat_run2,2.0,deal,second,rest,end,12,"Words that can follow ""the"" to form common phrases",1.0,65.0
88939,2.0,book,daughter,city,child,13,All pieces that are integral to girl's coming of age themes,3.0,65.0
deepseek-chat_run3,2.0,mouth,floor,plane,officer,14,"Things that can be ""on the"" in common phrases",1.0,40.0
88939,2.0,furniture,corn,towel,clown,15,"All things that have a relation to something that starts with a c (furniture = couch, corn = cob, towel = cloth, clown = circus)",1.0,7.0
94821,2.0,party,death,case,couple,16,Domestic violence trial,1.0,40.0
gpt5_run3,2.0,funeral,arrest,unit,taste,17,"Key elements in a deadly food-poisoning crime case (strange taste of the food, victims funerals, the suspects arrest, and the investigating police/forensics unit)",3.0,15.0
93133,2.0,chicken,park,wine,camera,18,all these things could be very expensive.,4.0,2.0
93532,0.0,picture,shot,drink,movie,19,Cinema,1.0,80.0
93444,2.0,nose,ground,gold,professor,20,Things that support you,3.0,18.0
95859,0.0,information,order,system,security,21,Museum,0.0,89.0
88939,2.0,mama,lunch,lieutenant,court,22,"All various hierarchal positions in their individual systems (e.g. breakfast, lunch, dinner)",4.0,35.0
94821,2.0,dinner,line,captain,husband,23,Captain of a fishing boat,1.0,26.0
96049,2.0,card,train,building,army,24,army training,3.0,35.0
deepseek-chat_run3,0.0,defense,safety,command,permission,26,Types of authorization or control in computer security,3.0,40.0
94257,1.0,hero,east,enemy,mission,27,War and military,3.0,1.0
88379,1.0,hotel,ball,earth,boat,28,round,3.0,10.0
deepseek-chat_run2,1.0,oxygen,temperature,movement,pattern,29,Essential factors for sustaining life in an ecosystem,1.0,40.0
deepseek-chat_run1,1.0,club,colonel,wedding,agent,30,"Things that can be preceded by the word ""secret""",1.0,40.0
95028,1.0,letter,lawyer,bank,college,31,things all involving important written documents,3.0,13.0
87744,1.0,table,paper,road,eye,32,road trip,4.0,21.0
